Which_country_do_you_live_in?,Patricipants,Job_as_Data_Analytics,Earn_a_certificate_accomplishment,Personal_Growth,Career_Change,Relevant_To_Current_Job,Other,social_media,career_websites,Newspapers,Networking,Company_Websites,Recruitment_Agencies,Other_Sources,Satisfaction_level,Usefull_Skills_Learned_And_Able_To_Aplly_As_Data_Analyst,Gain_Confidence_To_BE_Sucessful_Data_Analyst,Capstone_Project_Helped_To_Utilize_All_Skills_To_Practical_Use,Course_Material_Organized_And_Easy_To_Follow,Complexity_Of_Materials_Was_Appropriate_To_Background_And_Experience,Challenges_Reflection_Of_The_Course,Presentaion_Method_Of_The_Materials_By_Instructors_Contributed_TO_Learning,_Instructors_Made_The_Course_Interesting,The_Pace_Of_Instructors_Speech_Was_At_The_Right_Speed,Spreadsheets,BigQuery_(SQL),R_programming,Tableau,Data_Visualization_concepts,Asking_the_right_questions,Data_collection,Data_cleansing,Data_analysis,Presenting_the_data_findings,Communicating_with_stakeholders/colleagues,GDAC_Teachings_Were_Helpful_For_Job_Hunt_Skills,After_GDAC_Completion_Feeling_Ready_For_Entry_Level_Data_Analyst_Position
Jordan,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,3
Japan,1,1,1,1,1,0,0,0,1,0,0,0,1,0,4,2,2,5,5,5,5,4,3,5,3,2,3,2,2,3,3,3,3,3,2,2,1
Hong Kong,1,1,1,0,1,0,0,0,1,1,0,0,1,0,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4
Haiti,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4,3,3,4,4,3,4,4,4,4,3,3,2,2,3,3,3,3,3,3,3,2,2
Egypt,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5,5,4,4,5,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4
Dominican Republic,1,0,1,1,0,1,0,1,1,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,5,4,5
DR Congo,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,5,5,4,4,5,4,5,5,4,3,3,4,3,4,4,3,4,3,4,5,4,4
Côte d'Ivoire / Ivory Coast,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Czech Republic,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,4,4,4,5,5,4,5,5,3,5,4,4,3,4,2,2,4,4,3,3,3,2
Congo,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,4,4,5,5,5,5,5,5,4,3,3,4,4,5,4,4,4,4,4,4,4,4
Cameroon,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,4,3,4,4,5,4,4,4,5,2,2,4,1,2,3,3,3,3,4,3,4,4
Austria,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,2,3,4,4,4,4,5,5,2,3,2,3,4,3,4,4,4,3,2,2,1
Argentina,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,3,3,2,4,4,3,4,4,4,5,3,2,4,3,5,4,5,4,3,3,3,1
Angola,1,1,0,1,0,1,0,1,1,0,1,0,0,0,5,5,4,5,5,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,5
